Date,Added,Removed,Reason,,,,,
Ticker,Security,Ticker,Security,,,,,
06/07/19,2019,BMS,Bemis Co Inc,MAT,Mattel Inc,Bemis merges with Amcor; subsequently renamed to Amcor plc[7],,
06/03/19,2019,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[8],,
04/02/19,2019,DOW,Dow Inc.,BHF,Brighthouse Financial,DOW spun off from DWDP[9],,
02/27/19,2019,WAB,Wabtec Corporation,GT,The Goodyear Tire & Rubber Company,WAB acquiring GE transportation business[10],,
02/15/19,2019,ATO,Atmos Energy Corp,NFX,Newfield Exploration,ECA acquiring NFX[11],,
01/18/19,2019,TFX,Teleflex,PCG,PG&E Corp,PCG filing for bankruptcy[12],,
01/02/19,2019,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquiring SCANA Corporation[13],,
12/24/19,2018,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[14],,
12/03/19,2018,LW,Lamb Weston Holdings Inc,COL,Rockwell Collins,UTX acquires COL [15],,
MXIM,Maxim Integrated Products Inc,AET,Aetna Inc,CVS acquires Aetna[15],,,,
FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[15],,,,
11/13/19,2018,JKHY,Jack Henry & Associates,EQT,EQT Corp,EQT spinning off ETRN[16],,
11/06/19,2018,KEYS,Keysight Technologies,CA,CA Inc.,CA acquired by Broadcom Inc..[17],,
10/11/19,2018,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by Kohlberg Kravis Roberts.[18],,
10/01/19,2018,ROL,Rollins Inc.,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[19],,
09/14/19,2018,WCG,WellCare,XL,XL Group,XL acquired by AXA.[20],,
08/28/19,2018,ANET,Arista Networks,GGP,GGP Inc.,GGP acquired by Brookfield Property Partners.[21],,
07/02/19,2018,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[22],,
06/20/19,2018,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[23],,
06/18/19,2018,BR,Broadridge Financial Solutions,RRC,Range Resources,Capitalization rebalance.[24],,
HFC,HollyFrontier,AYI,Acuity Brands,,,,,
06/07/19,2018,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[25],,
06/05/19,2018,EVRG,Evergy,NAVI,Navient Corp,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[26],,
05/31/19,2018,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts Inc. (NYSE:WH).[27],,
04/04/19,2018,MSCI,MSCI,CSRA,CSRA Inc.,S&P 500 constituent General Dynamics Corp. (NYSE: GD) acquired CSRA.[28],,
03/19/19,2018,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization changes.[29],,
SIVB,SVB Financial,PDCO,Patterson Companies,,,,,
NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,,,,,
03/07/19,2018,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[30],,
01/03/19,2018,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[31],,
10/13/19,2017,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink Inc acquired LVLT.[32],,
09/18/19,2017,CDNS,Cadence Design Systems,SPLS,Staples Inc.,Sycamore Partners acquired Staples.[33],,
09/01/19,2017,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[34],,
08/29/19,2017,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon.com Inc. acquired Whole Foods Market.[34],,
